Unnamed: 0,carat,depth,table,price,x,y,z,price_log,cut_encoded,color_encoded,clarity_encoded,volume,price_per_carat,cut_clarity_score
31,-1.2118237843253254,-1.2229043090931968,-0.20351472436985463,402,-1.5583056711070093,-1.505558522730366,-1.6146079038679755,5.998936561946683,2,4,4,-1.1751069000707801,-1.1366713855830848,8
32,-1.2118237843253254,-1.3626432735888012,-0.20351472436985463,402,-1.5222034204890549,-1.4789875252812141,-1.6002703910002238,5.998936561946683,2,4,4,-1.164125432737042,-1.1366713855830848,8
33,-1.2118237843253254,-0.7338179333585868,0.6923331446617622,402,-1.5853823590704748,-1.5232725210298015,-1.6002703910002238,5.998936561946683,2,5,4,-1.1793133369037425,-1.1366713855830848,8
34,-1.2118237843253254,-1.5722517203322026,0.24440921014595382,402,-1.549280108452521,-1.4789875252812141,-1.6289454167357276,5.998936561946683,2,5,4,-1.1721913650120104,-1.1366713855830848,8
35,-1.2118237843253254,0.10461585361502417,0.24440921014595382,402,-1.6305101723429178,-1.5675575167783886,-1.5715953652647203,5.998936561946683,2,6,4,-1.187752396297497,-1.1366713855830848,8
36,-1.2118237843253254,-2.4805549895536156,0.6923331446617622,402,-1.5041522951800783,-1.4612735269817787,-1.6719579553389825,5.998936561946683,1,4,4,-1.169784254333093,-1.1366713855830848,4
37,-1.2118237843253254,1.6417444630666467,0.6923331446617622,402,-1.7117402362333147,-1.6649845074252811,-1.5429203395292168,5.998936561946683,1,5,4,-1.2085901767867897,-1.1366713855830848,4
38,-1.0399429122708095,1.5718749808188495,-1.54728652791728,402,-1.2965643541268408,-1.2575625465382765,-1.1271324663644158,5.998936561946683,1,2,2,-1.0191103672332122,-1.3648407546669135,2
39,-1.1473684573048821,-0.6639484511107896,0.6923331446617622,403,-1.440973356598658,-1.3904175337840385,-1.4568952623227063,6.0014148779611505,2,6,3,-1.1172952619425476,-1.2367438032114246,6
40,-0.9969726942571806,0.034746371367222015,-1.0993625934014715,403,-1.1160531010370693,-1.0804225635439264,-1.0841199277611606,6.0014148779611505,4,1,1,-0.9482828231463268,-1.4030646278478027,4
41,-0.9969726942571806,-0.38447052211958094,-0.6514386588856631,403,-1.1160531010370693,-1.0892795626936436,-1.1271324663644158,6.0014148779611505,4,1,1,-0.9577868121446281,-1.4030646278478027,4
42,-0.9969726942571806,-0.4543400043673831,-0.6514386588856631,403,-1.1160531010370693,-1.0449945669450564,-1.1127949534966641,6.0014148779611505,4,0,2,-0.9471035812681594,-1.4030646278478027,8
43,-1.1473684573048821,2.4103087677924653,-0.6514386588856631,403,-1.5673312337614977,-1.514415521880084,-1.3278576465129406,6.0014148779611505,1,6,3,-1.1359105060291195,-1.2367438032114246,3
44,-1.1473684573048821,-2.3408160250580163,2.484028882724996,403,-1.3868199806717263,-1.3195615405862986,-1.5429203395292168,6.0014148779611505,1,6,4,-1.1119936271960082,-1.2367438032114246,4
45,-1.018457803263995,0.94304964058864,-0.6514386588856631,403,-1.2514365408543981,-1.204420551639971,-1.1271324663644158,6.0014148779611505,1,2,1,-1.002094519838508,-1.3837595321310803,1
46,-1.0829131302844386,0.45396326485402994,0.24440921014595382,403,-1.3416921673992834,-1.3018475422868638,-1.2705075950419333,6.0014148779611505,3,4,2,-1.0578801315393955,-1.317855929511924,6
47,-1.018457803263995,0.034746371367222015,-1.0993625934014715,403,-1.2424109781999098,-1.1601355558913837,-1.1844825178354228,6.0014148779611505,2,2,1,-1.0027547538301436,-1.3837595321310803,2
48,-1.018457803263995,1.4321360163232453,-0.6514386588856631,403,-1.2333854155454207,-1.1955635524902537,-1.0697824148934085,6.0014148779611505,1,2,1,-0.9874788531361605,-1.3837595321310803,1
49,-1.1688535663116966,1.0827886050842395,1.1402570791775708,404,-1.5583056711070093,-1.505558522730366,-1.4282202365872025,6.003887067106539,2,5,3,-1.1478602212036826,-1.2033570054180578,6
50,-1.0829131302844386,-0.7338179333585868,1.1402570791775708,404,-1.2604621035088865,-1.204420551639971,-1.284845107909685,6.003887067106539,2,2,1,-1.0307194729182345,-1.316111582709763,2
